import_time,store_id,store_name,product_id,product_name,spec,realtimeprice,category,tags,icon,分割线,store_id,store_name,product_id,product_name,spec,category,tags,realtimeprice,icon,相似度分数
2018/3/1,47090,沃尔玛-宝山万达店,2003137954,包装土豆,650g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.3
2018/3/1,47090,沃尔玛-宝山万达店,2003137975,包装大葱,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555481,大葱,500g/份,时令蔬菜,,4.9,,0.8
2018/3/1,47090,沃尔玛-宝山万达店,2003137975,包装大葱,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.33
2018/3/1,47090,沃尔玛-宝山万达店,2003137975,包装大葱,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.28
2018/3/1,47090,沃尔玛-宝山万达店,2003137976,包装大蒜,180g,3.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.38
2018/3/1,47090,沃尔玛-宝山万达店,2003137976,包装大蒜,180g,3.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.32
2018/3/1,47090,沃尔玛-宝山万达店,2003137976,包装大蒜,180g,3.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.32
2018/3/1,47090,沃尔玛-宝山万达店,2003137966,包装娃娃菜,400g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007637073,娃娃菜 份,,时令蔬菜,,5.8,,0.72
2018/3/1,47090,沃尔玛-宝山万达店,2003137966,包装娃娃菜,400g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.39
2018/3/1,47090,沃尔玛-宝山万达店,2003137966,包装娃娃菜,400g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.32
2018/3/1,47090,沃尔玛-宝山万达店,2003934502,包装小土豆,550g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.26
2018/3/1,47090,沃尔玛-宝山万达店,2003934502,包装小土豆,550g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.22
2018/3/1,47090,沃尔玛-宝山万达店,2003934502,包装小土豆,550g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.22
2018/3/1,47090,沃尔玛-宝山万达店,2004962421,包装小白菜,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.31
2018/3/1,47090,沃尔玛-宝山万达店,2004962421,包装小白菜,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.26
2018/3/1,47090,沃尔玛-宝山万达店,2004962421,包装小白菜,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.26
2018/3/1,47090,沃尔玛-宝山万达店,2003138126,包装小葱,100g,4.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2003138126,包装小葱,100g,4.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003138126,包装小葱,100g,4.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137974,包装彩椒,300g,12.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008235895,三全金枪鱼彩椒儿童水饺,300g,日配冷藏,,21.9,,0.43
